,T,b,name,err_TPD,std_TPD
0,0.5,0,mu_284,0.295062656641604,0.053764742301780945
1,0.5,1,mu_284,0.2930659983291563,0.05328769226419005
2,0.5,2,mu_284,0.29565371762740206,0.05634961929784719
3,0.5,5,mu_284,0.2914264828738513,0.05604124839130992
4,0.5,10,mu_284,0.29563700918964103,0.055018150831416625
5,0.5,20,mu_284,0.3065685045948206,0.060047158645312966
6,1.0,0,mu_284,0.2949415204678363,0.054536474106109845
7,1.0,1,mu_284,0.2929406850459483,0.053435189863240105
8,1.0,2,mu_284,0.2948266499582291,0.053542705523804815
9,1.0,5,mu_284,0.2922619047619048,0.05678710479491506
10,1.0,10,mu_284,0.2958604845446952,0.05696949588382252
11,1.0,20,mu_284,0.30411445279866356,0.05677733221686972
12,5.0,0,mu_284,0.29376566416040106,0.053331559676280435
13,5.0,1,mu_284,0.2935317460317461,0.05410953149339606
14,5.0,2,mu_284,0.2948370927318298,0.05461753392539465
15,5.0,5,mu_284,0.2906119465329992,0.055403523934246725
16,5.0,10,mu_284,0.29689431913116143,0.056189712501185284
17,5.0,20,mu_284,0.30657894736842134,0.057788697567789586
18,10.0,0,mu_284,0.29436507936507933,0.05480247540176147
19,10.0,1,mu_284,0.29365079365079383,0.05280963370691015
20,10.0,2,mu_284,0.2961278195488722,0.05383621216950151
21,10.0,5,mu_284,0.29389724310776943,0.05666839678753095
22,10.0,10,mu_284,0.2972619047619049,0.057273506160598696
23,10.0,20,mu_284,0.3026963241436929,0.0602256179777935
24,20.0,0,mu_284,0.2930576441102758,0.05491832869352255
25,20.0,1,mu_284,0.29177944862155397,0.054802003713512515
26,20.0,2,mu_284,0.2957602339181288,0.05303582358239625
27,20.0,5,mu_284,0.29213032581453635,0.054271837508329195
28,20.0,10,mu_284,0.2959753550543026,0.057500046275757014
29,20.0,20,mu_284,0.30633667502088574,0.058342460194211514
0,0.5,0,phishing,0.15325333333333327,0.01928390923945547
1,0.5,1,phishing,0.15181333333333327,0.020266684210518734
2,0.5,2,phishing,0.15271999999999997,0.02081061267718949
3,0.5,5,phishing,0.1710399999999999,0.022120542488826972
4,0.5,10,phishing,0.19959999999999997,0.027979992852036246
5,0.5,20,phishing,0.22906666666666656,0.025590275930951256
6,1.0,0,phishing,0.15343999999999994,0.019184882937702118
7,1.0,1,phishing,0.15183999999999997,0.020132256041818408
8,1.0,2,phishing,0.15280000000000002,0.020474374227311565
9,1.0,5,phishing,0.17103999999999991,0.022427031308965815
10,1.0,10,phishing,0.1983733333333333,0.028659273465242524
11,1.0,20,phishing,0.22922666666666652,0.025782460877288062
12,5.0,0,phishing,0.15365333333333328,0.019721726316144064
13,5.0,1,phishing,0.1519733333333333,0.020351559044838697
14,5.0,2,phishing,0.15295999999999998,0.020519545154153235
15,5.0,5,phishing,0.17101333333333332,0.021579924827384238
16,5.0,10,phishing,0.19946666666666663,0.02801396477156028
17,5.0,20,phishing,0.22951999999999997,0.025719180909715346
18,10.0,0,phishing,0.15367999999999993,0.019240346497226432
19,10.0,1,phishing,0.15175999999999995,0.020022547290492285
20,10.0,2,phishing,0.15298666666666663,0.02005824407956877
21,10.0,5,phishing,0.17104,0.021931675722570758
22,10.0,10,phishing,0.19917333333333317,0.02780233723188672
23,10.0,20,phishing,0.22933333333333322,0.025739895536350234
24,20.0,0,phishing,0.15381333333333327,0.019407691487884102
25,20.0,1,phishing,0.15200000000000002,0.020175232340669588
26,20.0,2,phishing,0.1532266666666666,0.02056765961946625
27,20.0,5,phishing,0.1711733333333333,0.022567453457480652
28,20.0,10,phishing,0.19933333333333325,0.028077670052117126
29,20.0,20,phishing,0.2297066666666667,0.025630592831397583
0,0.5,0,obesity,0.1506374015439257,0.020625168441025573
1,0.5,1,obesity,0.15152237646540365,0.020591762883487928
2,0.5,2,obesity,0.15297517543761363,0.02195147480522912
3,0.5,5,obesity,0.15654435518507315,0.021342123598514912
4,0.5,10,obesity,0.16279703016518585,0.021164585504963015
5,0.5,20,obesity,0.17236552272752745,0.018289359037068135
6,1.0,0,obesity,0.1497857775088793,0.020154474590013245
7,1.0,1,obesity,0.149091309722549,0.02012185136782186
8,1.0,2,obesity,0.15201259341422704,0.02111437648243562
9,1.0,5,obesity,0.15618093135991684,0.02256863497248441
10,1.0,10,obesity,0.16416930896813928,0.021100208186914285
11,1.0,20,obesity,0.1736765897691581,0.018259666115642337
12,5.0,0,obesity,0.14957999544366393,0.020264609788671596
13,5.0,1,obesity,0.15051284924129524,0.019989248439689793
14,5.0,2,obesity,0.15251711427066886,0.02057089222020733
15,5.0,5,obesity,0.15663861905668908,0.02140529197902698
16,5.0,10,obesity,0.16469130822866831,0.021111328068061402
17,5.0,20,obesity,0.17294948068972477,0.019033172941223763
18,10.0,0,obesity,0.15018094629872394,0.02147580464210984
19,10.0,1,obesity,0.15005456399224676,0.020234120414255836
20,10.0,2,obesity,0.15136533225773932,0.020153549428519213
21,10.0,5,obesity,0.15655869643970888,0.021636368574779376
22,10.0,10,obesity,0.16437520307440653,0.021196797707234868
23,10.0,20,obesity,0.1724600853752815,0.018495229011567135
24,20.0,0,obesity,0.15011756841039892,0.019718906659005973
25,20.0,1,obesity,0.15040211533505868,0.020687095804459113
26,20.0,2,obesity,0.15217116884959986,0.02030314098445627
27,20.0,5,obesity,0.1563858544437349,0.02160991845129114
28,20.0,10,obesity,0.16475397652366494,0.020237674111878073
29,20.0,20,obesity,0.17362904701615997,0.018149753099589272
0,0.5,0,diabetes,0.3056749568514273,0.029056246694006634
1,0.5,1,diabetes,0.2940921823274765,0.03193669621786577
2,0.5,2,diabetes,0.29861047449282757,0.03250757045316984
3,0.5,5,diabetes,0.360387346857935,0.03986426812376625
4,0.5,10,diabetes,0.41019862490450715,0.0357873218969773
5,0.5,20,diabetes,0.6811764705882352,0.03071536270679645
6,1.0,0,diabetes,0.3050686133039072,0.02941375173976082
7,1.0,1,diabetes,0.2942229012817249,0.032767380559826316
8,1.0,2,diabetes,0.2990453555159438,0.03253436182974845
9,1.0,5,diabetes,0.3588204170557112,0.038131812439388624
10,1.0,10,diabetes,0.4095922813569871,0.03581025822145775
11,1.0,20,diabetes,0.6800475341651812,0.03480518778065001
12,5.0,0,diabetes,0.30446142093200923,0.028989900998896787
13,5.0,1,diabetes,0.2940488922841865,0.03288454998825703
14,5.0,2,diabetes,0.29804402569108457,0.03265866759933815
15,5.0,5,diabetes,0.3601250601250601,0.03892507945189484
16,5.0,10,diabetes,0.41067962538550795,0.03632206247877204
17,5.0,20,diabetes,0.6813507625272331,0.03135252620087099
18,10.0,0,diabetes,0.30484961661432236,0.02905167484437833
19,10.0,1,diabetes,0.294352205528676,0.03156736120974381
20,10.0,2,diabetes,0.2976948759301701,0.032749549924880196
21,10.0,5,diabetes,0.35969555498967276,0.039208250819363945
22,10.0,10,diabetes,0.4094655235831707,0.03622188033092335
23,10.0,20,diabetes,0.6816970828735535,0.029154385617720005
